Date,Parameters,Age_Group
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",3
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
22.02.2019,"Low, Low",4
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
23.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
24.02.2019,"Low, Low",2
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",1
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",2
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
25.02.2019,"Low, Low",3
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",2
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
26.02.2019,"Low, Low",3
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",1
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
