Date,News_Readers,Beauty_Welness,Art_Theater,Business_Professionals,Luxury_Shoppers,Books_lovers,Music_lovers,Shppers,Health_Fitness,Travel_Buffs,Parameters
13.07.2019,1.027,342,311,432,388,276,666.0,431,287,669,"High, Low"
14.07.2019,912.0,279,300,369,345,301,658.0,368,283,614,"High, Low"
15.07.2019,881.0,317,322,415,377,266,764.0,353,322,668,"High, Low"
16.07.2019,919.0,312,302,398,380,250,671.0,363,308,672,"High, Low"
17.07.2019,1.057,327,336,453,419,312,828.0,388,317,675,"High, Low"
18.07.2019,1.181,382,394,529,458,357,903.0,498,361,769,"High, Low"
19.07.2019,903.0,280,312,392,322,273,696.0,361,304,637,"High, Low"
20.07.2019,948.0,321,306,383,364,265,711.0,397,303,667,"High, Low"
21.07.2019,698.0,261,223,298,284,207,511.0,282,242,506,"High, Low"
22.07.2019,964.0,393,333,466,423,307,800.0,415,339,754,"High, High"
23.07.2019,1.289,476,439,599,549,389,1.037,541,424,896,"High, Low"
24.07.2019,1.339,467,480,628,590,437,1.1440000000000001,571,442,999,"High, Low"
25.07.2019,1.251,467,408,591,555,383,944.0,532,413,916,"High, Low"
26.07.2019,1.137,419,371,527,472,316,921.0,484,382,867,"High, Low"
27.07.2019,824.0,284,281,349,336,259,587.0,349,281,629,"High, Low"
28.07.2019,763.0,275,281,335,322,262,593.0,332,272,594,"High, High"
29.07.2019,1.04,397,362,496,467,331,777.0,447,375,786,"High, Low"
30.07.2019,933.0,331,268,398,375,287,640.0,344,298,683,"High, Low"
31.07.2019,533.0,241,154,208,145,186,398.0,262,203,470,"High, High"
01.08.2019,586.0,255,170,210,143,213,397.0,287,237,517,"High, High"
02.08.2019,945.0,338,214,258,151,280,573.0,367,298,746,"High, Low"
03.08.2019,775.0,302,184,227,161,278,506.0,375,250,656,"High, Low"
04.08.2019,637.0,273,171,183,126,236,470.0,342,225,593,"High, Low"
05.08.2019,754.0,327,194,225,145,275,505.0,349,277,655,"High, Low"
06.08.2019,640.0,280,183,184,125,216,498.0,307,218,554,"High, Low"
07.08.2019,672.0,277,187,174,114,253,469.0,283,213,546,"High, Low"
08.08.2019,495.0,240,139,148,102,191,392.0,249,181,442,"High, High"
09.08.2019,636.0,231,168,192,113,206,443.0,286,219,498,"High, Low"
10.08.2019,563.0,175,148,148,80,177,312.0,251,184,497,"High, High"
11.08.2019,441.0,137,135,123,60,177,364.0,198,168,383,"High, Low"
12.08.2019,609.0,225,152,173,89,200,343.0,238,205,486,"High, Low"
13.08.2019,379.0,140,115,114,59,137,323.0,176,146,312,"High, High"
14.08.2019,457.0,166,131,121,67,156,281.0,187,166,373,"High, Low"
15.08.2019,441.0,159,107,113,59,137,320.0,187,132,322,"High, High"
16.08.2019,511.0,168,124,121,78,145,371.0,177,163,418,"High, Low"
17.08.2019,350.0,112,96,83,37,120,284.0,148,106,303,"High, Medium"
18.08.2019,323.0,97,86,66,42,105,237.0,131,98,242,"High, High"
19.08.2019,534.0,198,150,141,75,177,359.0,226,203,445,"High, Low"
20.08.2019,429.0,181,125,109,58,156,304.0,193,168,375,"High, Medium"
21.08.2019,553.0,200,151,142,82,189,442.0,246,191,415,"High, Low"
22.08.2019,574.0,246,161,162,83,227,396.0,291,218,472,"High, Low"
23.08.2019,964.0,361,187,240,113,298,484.0,380,317,737,"High, Low"
24.08.2019,700.0,266,191,193,104,277,565.0,365,264,599,"High, Low"
25.08.2019,629.0,222,180,154,97,221,448.0,293,228,508,"High, Low"
26.08.2019,731.0,277,188,165,100,253,550.0,336,243,536,"High, Low"
27.08.2019,560.0,222,142,164,99,168,459.0,270,203,484,"High, Low"
28.08.2019,521.0,202,158,128,65,197,450.0,222,192,399,"High, Low"
29.08.2019,499.0,231,149,121,65,214,459.0,257,202,408,"High, Low"
30.08.2019,532.0,221,157,141,83,208,425.0,261,206,441,"High, Low"
31.08.2019,452.0,173,134,105,69,190,316.0,223,160,337,"High, Medium"
01.09.2019,290.0,119,102,83,49,110,232.0,160,110,295,"High, Medium"
03.09.2019,225.0,95,69,73,41,94,185.0,113,97,225,"High, High"
04.09.2019,213.0,112,79,69,38,87,211.0,125,97,218,"High, High"
05.09.2019,243.0,92,60,68,40,85,212.0,108,80,192,"High, High"
06.09.2019,244.0,86,57,60,23,77,136.0,105,77,177,"High, High"
07.09.2019,305.0,105,87,88,49,121,197.0,161,112,278,"High, Low"
08.09.2019,220.0,81,74,56,41,81,143.0,109,95,183,"High, Low"
09.09.2019,145.0,65,65,42,30,58,146.0,84,69,150,"High, Medium"
11.09.2019,185.0,78,65,54,27,64,204.0,94,78,158,"High, High"
12.09.2019,145.0,78,61,53,32,78,120.0,96,68,144,"High, Low"
13.09.2019,296.0,101,85,77,37,106,168.0,135,104,218,"High, Low"
14.09.2019,307.0,85,87,67,36,106,178.0,143,93,239,"Low, Low"
15.09.2019,143.0,56,52,31,19,57,93.0,60,52,132,"Low, Low"
16.09.2019,180.0,73,60,50,27,57,153.0,94,77,166,"Low, Low"
17.09.2019,141.0,78,51,41,29,69,124.0,83,58,119,"Low, High"
18.09.2019,146.0,64,54,43,21,63,136.0,82,60,120,"Low, High"
19.09.2019,167.0,68,54,50,27,65,144.0,96,70,156,"Low, Low"
20.09.2019,183.0,72,62,60,28,76,126.0,95,78,164,"Low, Low"
21.09.2019,328.0,101,77,81,44,109,173.0,147,98,227,"Low, Low"
22.09.2019,262.0,98,75,71,61,98,182.0,138,95,179,"Low, Low"
23.09.2019,124.0,55,44,34,26,42,105.0,72,49,126,"Low, Low"
24.09.2019,109.0,42,36,31,16,37,88.0,47,48,104,"Low, Low"
25.09.2019,98.0,43,44,36,23,46,100.0,55,50,103,"Low, Low"
26.09.2019,108.0,46,38,29,15,35,86.0,58,52,108,"Low, Low"
28.09.2019,140.0,53,45,43,23,48,75.0,83,50,108,"Low, High"
29.09.2019,65.0,32,22,17,22,30,39.0,43,26,60,"Low, Medium"
30.09.2019,61.0,33,32,27,15,27,59.0,50,35,77,"Low, High"
01.10.2019,79.0,33,27,26,20,33,63.0,43,40,84,"Low, Low"
02.10.2019,164.0,51,42,31,18,45,105.0,65,40,99,"Low, Medium"
03.10.2019,96.0,48,34,36,22,39,133.0,66,48,109,"Low, Low"
04.10.2019,115.0,40,36,29,19,49,122.0,62,39,74,"Low, Low"
05.10.2019,128.0,47,25,34,24,29,66.0,51,42,91,"Low, Low"
06.10.2019,109.0,39,35,26,16,43,79.0,59,43,90,"Low, Low"
07.10.2019,66.0,28,22,21,16,25,75.0,33,42,49,"Low, Low"
08.10.2019,122.0,35,39,28,15,42,114.0,51,44,101,"Low, High"
09.10.2019,118.0,48,30,24,13,43,128.0,54,45,77,"Low, Low"
10.10.2019,122.0,48,43,29,22,52,125.0,48,55,110,"Low, Low"
12.10.2019,124.0,35,28,32,12,48,119.0,55,42,77,"Low, Medium"
13.10.2019,104.0,36,18,33,21,32,114.0,53,40,87,"Low, High"
15.10.2019,113.0,40,27,27,14,48,122.0,60,48,88,"Low, High"
18.10.2019,88.0,30,30,21,15,38,131.0,55,37,65,"Low, High"
21.10.2019,87.0,43,32,28,15,31,97.0,50,37,69,"Low, Low"
22.10.2019,71.0,31,37,20,10,37,76.0,52,33,73,"Low, Low"
24.10.2019,63.0,36,29,20,15,21,45.0,46,31,60,"Low, Low"
25.10.2019,76.0,38,32,26,14,25,93.0,43,37,83,"Low, Low"
28.10.2019,67.0,32,29,26,16,20,89.0,38,34,79,"Low, Medium"
01.11.2019,52.0,22,19,17,12,16,26.0,29,21,43,"Low, Medium"
03.11.2019,95.0,28,31,21,20,36,101.0,43,30,82,"Low, Low"
06.11.2019,45.0,19,20,19,11,18,66.0,29,19,35,"Low, Low"
14.11.2019,57.0,29,24,21,12,25,49.0,30,24,50,"Low, Low"
19.11.2019,52.0,19,18,16,15,15,67.0,21,20,36,"Low, Low"
20.11.2019,30.0,18,15,15,13,12,38.0,22,15,43,"Low, Low"
26.11.2019,67.0,20,20,12,13,21,73.0,33,19,40,"Low, Low"
